ts,open,high,low,close,volume
1761681600,460.55,460.559,459.5736,460.0,480025.0
1761685200,460.0,460.55,459.7498,460.06,124012.0
1761688800,460.0,460.25,459.02,459.09,145675.0
1761692400,459.02,460.1,458.81,459.6001,156421.0
1761696000,459.85,462.26,459.44,461.59,69001.0
1761699600,461.59,461.79,460.48,461.25,52518.0
1761703200,461.18,462.11,461.09,461.81,40542.0
1761706800,461.9,462.24,461.64,461.87,25114.0
1761710400,461.99,462.66,461.01,462.08,32205.0
1761714000,462.08,462.19,461.7,461.85,10517.0
1761717600,461.82,462.62,461.74,462.61,23984.0
1761721200,462.63,462.66,462.0,462.49,22171.0
1761724800,462.5,465.0,461.84,463.6,216981.0
1761728400,463.56,464.5,463.25,464.49,101406.0
1761732000,464.31,464.98,463.8,463.8,97921.0
1761735600,463.72,465.6,463.62,465.39,250042.0
1761739200,465.59,465.8,460.98,465.59,687524.0
1761742800,462.615,464.705,457.93,463.95,10887293.0
1761746400,464.11,465.7,458.07,458.69,11046770.0
1761750000,458.74,460.3507,456.78,459.11,7280326.0
1761753600,459.28,460.38,457.55,460.0,4795558.0
1761757200,460.07,462.0,458.56,461.285,5523050.0
1761760800,461.38,462.95,452.65,459.12,12840500.0
1761764400,459.62,462.07,458.0,461.36,10781855.0
1761768000,461.51,462.0,459.4,459.94,601944.0
1761771600,459.81,460.0,459.02,459.02,106841.0
1761775200,459.04,459.5,458.4,458.53,126420.0
1761778800,458.52,459.58,458.4,459.0001,125786.0
1761782400,461.38,461.38,459.19,459.83,29121.0
1761786000,459.98,460.49,459.33,460.33,24175.0
1761789600,460.33,460.94,459.99,460.11,32825.0
1761793200,460.1,461.11,460.01,460.86,32934.0
1761796800,460.87,460.93,454.99,456.3,138719.0
1761800400,456.36,458.91,456.2,458.21,46484.0
1761804000,458.08,458.19,455.95,457.1,31532.0
1761807600,457.09,458.98,456.62,458.57,38141.0
1761811200,458.7,460.8,458.69,460.03,126848.0
1761814800,460.15,460.45,457.0,457.75,84487.0
1761818400,457.5,458.38,457.06,458.13,76260.0
1761822000,458.0,459.5,458.0,459.0,92580.0
1761825600,458.21,461.51,453.89,453.89,990412.0
1761829200,453.17,455.0607,448.5754,451.62,10951202.0
1761832800,451.695,452.94,441.8,442.87,15820117.0
1761836400,442.69,444.7,439.61,441.11,10599687.0
1761840000,441.3,446.75,441.26,446.285,7159339.0
1761843600,446.155,446.4,443.28,444.69,5169676.0
1761847200,444.72,444.9,441.8201,442.99,5106822.0
1761850800,443.26,443.809,440.0,440.05,8413199.0
1761854400,440.1,443.77,439.7097,442.7,1058893.0
1761858000,442.82,444.52,442.7606,443.75,350111.0
1761861600,443.98,445.49,443.97,444.83,186066.0
1761865200,444.8,445.19,443.94,444.71,160581.0
1761868800,444.75,447.0,444.31,445.24,47163.0
1761872400,445.25,445.27,440.21,441.76,106293.0
1761876000,441.75,443.38,440.24,443.0,97627.0
1761879600,442.99,443.39,441.69,442.51,27478.0
1761883200,442.49,442.89,442.1,442.79,16097.0
1761886800,442.79,442.89,442.12,442.63,12545.0
1761890400,442.63,442.89,441.61,441.96,16232.0
1761894000,441.88,444.5,441.57,443.91,30161.0
1761897600,443.9,446.3,443.8,445.4,197291.0
1761901200,445.43,445.82,445.0,445.23,90677.0
1761904800,445.55,445.55,444.14,444.7,74489.0
1761908400,444.8,446.41,444.75,445.86,173512.0
1761912000,445.98,447.0,441.58,445.83,624524.0
1761915600,446.715,450.47,445.45,449.795,9684452.0
1761919200,449.85,457.09,448.94,456.82,14627924.0
1761922800,456.79,457.73,453.46,453.81,9679722.0
1761926400,453.77,454.43,448.69,449.38,9098708.0
1761930000,449.3,449.42,443.6855,448.41,11321442.0
1761933600,448.49,453.75,448.386,451.91,10651206.0
1761937200,451.39,458.0,450.7772,456.52,11030661.0
1761940800,456.56,456.78,455.2,455.5,761557.0
1761944400,455.47,455.8978,455.02,455.84,116283.0
1761948000,455.8281,455.83,455.51,455.69,44311.0
1761951600,455.6942,456.1,455.5,456.1,109036.0
1762131600,456.55,459.68,454.32,458.64,127517.0
1762135200,458.69,458.81,456.76,457.8,44459.0
1762138800,457.78,458.25,456.32,457.2,34236.0
1762142400,457.2,458.48,457.09,458.14,18214.0
1762146000,458.15,458.45,457.29,457.94,18418.0
1762149600,457.92,457.92,456.75,456.87,20365.0
1762153200,456.88,457.13,455.63,456.2,45085.0
1762156800,456.25,456.92,455.54,456.64,43526.0
