ts,open,high,low,close,volume
1725973200,219.96,220.5,216.0,220.09,0.0
1725975000,220.0,226.39999389648438,219.10000610351562,223.63999938964844,28728181.0
1725978600,223.61000061035156,224.36000061035156,221.3699951171875,223.74989318847656,10196863.0
1725982200,223.72999572753906,223.9799041748047,218.6376953125,219.0399932861328,9717439.0
1725985800,219.02999877929688,221.92999267578125,218.9199981689453,221.01400756835938,6931832.0
1725989400,221.0,223.1699981689453,220.9801025390625,222.9600067138672,5882772.0
1725993000,222.94000244140625,224.82000732421875,222.76409912109375,224.74000549316406,6412428.0
1725996600,224.66000366210938,226.3699951171875,224.25,226.1300048828125,6700484.0
1725998400,226.13,226.62,225.65,226.55,0.0
1726002000,226.55,235.008,210.5319,226.189,0.0
1726005600,226.14,226.2,225.87,226.0,0.0
1726009200,225.96,226.7,225.91,226.5,0.0
1726041600,224.68,225.02,223.4,225.01,0.0
1726045200,225.03,225.04,223.37,223.6,0.0
1726048800,223.69,224.5,223.6,223.71,0.0
1726052400,223.71,229.76,223.71,224.99,0.0
1726056000,224.96,226.17,223.3652,225.74,0.0
1726059600,225.75,226.36,223.8,224.49,0.0
1726061400,224.42999267578125,224.4499969482422,219.0,219.00999450683594,24339986.0
1726065000,219.0030059814453,220.47999572753906,216.80029296875,220.02000427246094,13646958.0
1726068600,220.00999450683594,223.13999938964844,219.8699951171875,222.42999267578125,10011195.0
1726072200,222.44000244140625,223.77000427246094,221.6699981689453,223.0299072265625,7143186.0
1726075800,223.17160034179688,225.5299072265625,222.82000732421875,225.3780975341797,7047758.0
1726079400,225.3699951171875,227.14999389648438,224.5601043701172,226.72000122070312,9993418.0
1726083000,226.7100067138672,228.41000366210938,226.20010375976562,228.08999633789062,7152150.0
1726084800,228.31,228.38,226.79,227.05,0.0
1726088400,227.02,231.9745,211.411,227.0,0.0
1726092000,226.9,227.12,226.8,226.995,0.0
1726095600,226.91,227.48,226.91,227.17,0.0
1726128000,227.56,227.94,226.0,226.92,0.0
1726131600,226.88,228.06,226.75,227.8,0.0
1726135200,227.78,227.99,227.05,227.15,0.0
1726138800,227.01,227.5,226.26,226.46,0.0
1726142400,226.44,228.5,226.06,226.95,0.0
1726146000,226.95,227.775,221.335,224.71,0.0
1726147800,224.6300048828125,231.4499969482422,223.8300018310547,229.39999389648438,26237834.0
1726151400,229.36000061035156,230.24630737304688,226.4199981689453,228.1300048828125,12014203.0
1726155000,228.13999938964844,228.97999572753906,226.6999969482422,228.93499755859375,6663903.0
1726158600,228.9499969482422,230.63999938964844,227.80999755859375,230.16000366210938,6003037.0
