ts,open,high,low,close,volume
1725973200,18758.25,18821.75,18721.75,18762.5,0.0
1725976800,18762.75,18817.0,18686.75,18728.75,90572.0
1725980400,18728.5,18790.0,18622.25,18623.75,62643.0
1725984000,18623.75,18718.75,18597.25,18688.75,56017.0
1725987600,18688.0,18795.5,18684.25,18787.25,43783.0
1725991200,18787.25,18847.5,18787.25,18820.75,40931.0
1725994800,18826.0,18878.5,18818.75,18864.75,45401.0
1725998400,18848.75,18851.5,18820.75,18835.0,22253.0
1726005600,18837.75,18847.75,18826.25,18845.0,0.0
1726009200,18844.0,18857.0,18823.0,18836.75,2456.0
1726012800,18837.5,18844.25,18803.0,18811.75,4856.0
1726016400,18811.75,18825.75,18749.0,18778.0,9325.0
1726020000,18778.25,18800.0,18766.0,18785.25,4395.0
1726023600,18786.5,18797.75,18733.75,18750.5,5219.0
1726027200,18742.5,18747.0,18720.0,18733.0,3273.0
1726030800,18732.25,18754.25,18705.0,18750.75,4655.0
1726034400,18750.5,18804.25,18746.0,18788.75,6557.0
1726038000,18788.25,18825.25,18785.0,18822.0,8771.0
1726041600,18820.75,18823.5,18764.75,18775.75,7231.0
1726045200,18776.75,18812.5,18767.0,18807.5,4256.0
1726048800,18806.25,18815.75,18788.25,18803.75,4294.0
1726052400,18803.5,18840.5,18792.75,18834.75,6185.0
1726056000,18834.75,18874.75,18730.5,18866.25,37292.0
1726059600,18885.5,18927.5,18773.25,18792.0,88984.0
1726063200,18792.25,18816.5,18547.0,18604.75,114508.0
1726066800,18604.25,18819.0,18569.5,18789.75,94069.0
1726070400,18789.0,18940.25,18784.0,18912.75,72414.0
1726074000,18912.25,19070.25,18908.0,19040.25,64061.0
1726077600,19040.0,19180.0,19031.5,19127.75,67841.0
1726081200,19127.75,19293.5,19097.75,19254.75,85813.0
1726084800,19255.25,19268.25,19229.0,19248.0,21161.0
1726092000,19241.5,19249.75,19226.25,19245.75,0.0
1726095600,19245.25,19249.5,19234.5,19244.0,1973.0
1726099200,19244.5,19283.25,19234.0,19251.0,6244.0
1726102800,19251.0,19289.25,19237.0,19278.5,6789.0
1726106400,19277.5,19305.5,19263.25,19280.0,4377.0
1726110000,19279.75,19310.5,19269.25,19308.5,3234.0
1726113600,19304.25,19325.0,19299.5,19313.75,2822.0
1726117200,19313.25,19329.25,19301.75,19310.5,3995.0
1726120800,19310.5,19342.75,19300.0,19302.5,6018.0
1726124400,19303.25,19339.5,19271.5,19282.0,12626.0
1726128000,19281.75,19315.75,19260.0,19299.0,7793.0
1726131600,19298.25,19332.25,19290.25,19295.25,5067.0
1726135200,19296.25,19310.0,19281.75,19288.25,4912.0
1726138800,19287.75,19303.75,19272.75,19299.5,6427.0
1726142400,19298.75,19329.5,19248.5,19259.0,26260.0
1726146000,19259.0,19286.5,19185.25,19257.0,91483.0
1726149600,19257.5,19366.25,19230.25,19310.25,95196.0
1726153200,19286.25,19388.75,19246.25,19265.75,69856.0
1726156800,19265.25,19383.25,19258.0,19381.5,44444.0
1726160400,19381.0,19469.25,19370.25,19466.0,46277.0
1726164000,19466.25,19483.5,19356.75,19454.0,53647.0
1726167600,19453.75,19464.25,19410.75,19451.0,54467.0
1726171200,19451.75,19458.5,19401.0,19413.5,18274.0
1726178400,19419.5,19446.0,19413.25,19443.0,0.0
1726182000,19442.5,19470.5,19442.5,19453.75,2353.0
1726185600,19454.25,19473.75,19443.75,19456.0,3294.0
1726189200,19456.0,19459.0,19434.25,19443.5,3028.0
1726192800,19444.0,19446.5,19420.25,19425.5,2333.0
1726196400,19425.25,19454.25,19424.25,19450.25,2577.0
1726200000,19443.25,19454.0,19440.0,19448.5,1236.0
1726203600,19448.5,19488.5,19444.75,19444.75,3855.0
1726207200,19445.75,19451.75,19430.5,19439.75,2873.0
1726210800,19440.5,19476.25,19433.5,19435.25,7361.0
1726214400,19435.75,19467.5,19425.0,19452.75,6142.0
1726218000,19453.25,19478.5,19447.25,19462.75,4248.0
1726221600,19462.0,19473.0,19453.5,19469.5,3613.0
1726225200,19469.75,19470.75,19439.25,19453.5,5855.0
1726228800,19452.5,19466.0,19412.75,19448.5,10558.0
1726232400,19448.75,19501.5,19398.25,19464.0,65940.0
1726236000,19466.25,19534.25,19413.25,19512.5,95272.0
1726239600,19512.25,19544.0,19498.75,19535.5,46438.0
1726243200,19535.0,19561.0,19478.0,19542.5,49712.0
1726246800,19542.25,19577.0,19536.0,19560.75,36092.0
1726250400,19561.0,19573.25,19496.5,19513.25,47404.0
1726254000,19513.25,19552.0,19492.0,19527.5,49797.0
1726257600,19527.25,19529.0,19501.25,19503.5,12347.0
1726437600,19498.0,19526.5,19479.0,19500.5,3506.0
1726441200,19500.5,19546.5,19498.5,19539.0,3106.0
1726444800,19540.0,19544.25,19513.75,19520.25,3060.0
1726448400,19518.25,19527.75,19496.25,19526.5,2399.0
1726452000,19527.0,19531.0,19510.75,19518.25,1301.0
1726455600,19519.0,19531.75,19511.5,19529.5,1125.0
1726459200,19532.0,19532.5,19523.75,19529.0,351.0
1726462800,19530.0,19530.25,19508.25,19518.0,1105.0
1726466400,19517.75,19518.5,19481.5,19492.25,2008.0
1726470000,19491.5,19521.25,19486.5,19519.0,3078.0
1726473600,19519.75,19543.0,19514.5,19527.5,3396.0
1726477200,19527.5,19538.25,19511.75,19516.25,2703.0
1726480800,19515.5,19516.5,19465.75,19493.0,5612.0
1726484400,19492.25,19493.25,19442.0,19453.25,5811.0
1726488000,19453.5,19460.25,19427.0,19434.5,14858.0
1726491600,19442.25,19463.5,19326.25,19428.75,60546.0
